id,value
"Nurkic, Jusuf",2.3
"Nurkic, Jusuf",0.8
"Mozgov, Timofey",3
"Mozgov, Timofey",7.4
"Nurkic, Jusuf",2.6
"Nurkic, Jusuf",1.3
"Nurkic, Jusuf",3.1
"Favors, Derrick",4.4
"Favors, Derrick",1.9
"Favors, Derrick",2.7
"Favors, Derrick",2.6
"Favors, Derrick",2.1
"Gobert, Rudy",1.7
"Gobert, Rudy",3.4
"Gobert, Rudy",5
"Favors, Derrick",1
"Burks, Alec",5.9
"Favors, Derrick",5.3
"Favors, Derrick",4.9
"Hood, Rodney",3.7
"Mbah a Moute, Luc",3.6
"Mbah a Moute, Luc",2.8
"Thompson, Hollis",3
"Sims, Henry",4.5
"Mbah a Moute, Luc",1.2
"Mbah a Moute, Luc",2.2
"Mbah a Moute, Luc",3.4
"Sims, Henry",3.7
"Sims, Henry",4.5
"Sims, Henry",2.7
"Sims, Henry",4.4
"Mbah a Moute, Luc",1.9
"McDaniels, KJ",2.3
"Noel, Nerlens",2.5
"Mbah a Moute, Luc",2.5
"Grant, Jerami",1.6
"Grant, Jerami",7.2
"Mbah a Moute, Luc",4.8
"Noel, Nerlens",2
"Thompson, Hollis",2.1
"Noel, Nerlens",2
"McDaniels, KJ",3.3
"Covington, Robert",2.8
"Len, Alex",2
"Len, Alex",1.1
"Len, Alex",6.2
"Len, Alex",1.6
"Len, Alex",6.1
"Len, Alex",2.1
"Morris, Marcus",1.6
"Plumlee, Miles",4.6
"Plumlee, Miles",4.1
"Plumlee, Miles",3.8
"Green, Gerald",2.2
"Len, Alex",3.9
"Len, Alex",1.7
"Bledsoe, Eric",2
"Len, Alex",0.9
"Len, Alex",4.5
"Len, Alex",2.5
"Len, Alex",1.8
"Len, Alex",1.8
"Plumlee, Miles",3.7
"Plumlee, Miles",2.6
"Plumlee, Miles",1
"Varejao, Anderson",1.6
"Varejao, Anderson",5.3
"Marion, Shawn",5.3
"Varejao, Anderson",6.2
"James, LeBron",2
"Varejao, Anderson",1.5
"Irving, Kyrie",1.9
"Varejao, Anderson",4.4
"Marion, Shawn",2.5
"Thompson, Tristan",3.3
"Thompson, Tristan",0.1
"Love, Kevin",2.4
"Marion, Shawn",7
"Williams, Deron",4.6
"Plumlee, Mason",3.6
"Plumlee, Mason",2.9
"Plumlee, Mason",1.7
"Plumlee, Mason",2
"Plumlee, Mason",2.1
"Plumlee, Mason",1.5
"Karasev, Sergey",4.3
"Plumlee, Mason",2.4
"Plumlee, Mason",2.7
"Gasol, Marc",1.7
"Gasol, Marc",2.3
"Conley, Mike",5.2
"Gasol, Marc",2.1
"Gasol, Marc",2.3
"Gasol, Marc",3.8
"Koufos, Kosta",1.6
"Conley, Mike",2.2
"Lee, Courtney",2
"Allen, Tony",1.5
"Conley, Mike",4.1
"Gasol, Marc",5.1
"Randolph, Zach",2
"Gasol, Marc",5.6
"Conley, Mike",5.6
"Koufos, Kosta",2.7
"Gasol, Marc",3
"Conley, Mike",2.3
"Gasol, Marc",0.7
"Gasol, Marc",3.4
"Lee, Courtney",4.7
"Bradley, Avery",3
"Zeller, Tyler",5.1
"Zeller, Tyler",1.6
"Zeller, Tyler",5.1
"Zeller, Tyler",3
"Zeller, Tyler",2.3
"Zeller, Tyler",2.4
"Zeller, Tyler",2.3
"Turner, Evan",2
"Thornton, Marcus",1.8
"Sullinger, Jared",4.2
"Bass, Brandon",2.3
"Zeller, Tyler",2.7
"Zeller, Tyler",2
"Bass, Brandon",4.3
"Dalembert, Samuel",3
"Dalembert, Samuel",1.5
"Aldrich, Cole",2.3
"Aldrich, Cole",2.4
"Dalembert, Samuel",2.1
"Dalembert, Samuel",2.3
"Dalembert, Samuel",3.6
"Dalembert, Samuel",1.9
"Dalembert, Samuel",1.9
"Prigioni, Pablo",5.5
"Stoudemire, Amar'e",1.1
"Dalembert, Samuel",2.3
"Stoudemire, Amar'e",4.9
"Dalembert, Samuel",3.7
"Dalembert, Samuel",1.8
"Stoudemire, Amar'e",2.1
"Hardaway Jr., Tim",3.8
"Stoudemire, Amar'e",1.6
"Stoudemire, Amar'e",3.1
"Stoudemire, Amar'e",8.1
"Stoudemire, Amar'e",8.1
"Noah, Joakim",2.9
"Gasol, Pau",2.2
"Gasol, Pau",1.7
"Gasol, Pau",4.8
"Gasol, Pau",3.7
"Gasol, Pau",2.3
"Gasol, Pau",4.5
"Gasol, Pau",4.6
"Gasol, Pau",2.8
"Hinrich, Kirk",3.4
"Gasol, Pau",1
"Gasol, Pau",1.1
"Noah, Joakim",2.3
"Carroll, DeMarre",1.5
"Korver, Kyle",3.5
"Teague, Jeff",2.3
"Millsap, Paul",1.7
"Brand, Elton",2
"Millsap, Paul",3.6
"Teague, Jeff",6.8
"Horford, Al",5.6
